"scenario_id","denom_spec_id","risk_spec","sample_variant","weighting","model_id","controls","target_beta","childhealth_beta","robust_se","p_value","n","abs_error_to_target","denom_components","risk_components","include_emoney","include_other_fin","include_housing_fund","include_jizikuan","include_unpaid_salary","total_abs_error_to_targets","max_abs_error_to_target","min_n_across_models","rank_by_target_error"
"denom_7__stock_fund__winsor_top2__unweighted","denom_7","stock_fund","winsor_top2","unweighted","(3)","No",-0.003,0,0,NA,14686,0.003,"cash_amt+deposit_amt+bond_amt+stock_amt+fund_amt+lend_amt+other_fin_amt+housing_fund_amt","stock_amt+fund_amt",0,1,1,0,0,0.005,0.003,14686,380
"denom_7__stock_fund__winsor_top2__unweighted","denom_7","stock_fund","winsor_top2","unweighted","(4)","Yes",-0.002,0,0,NA,14686,0.002,"cash_amt+deposit_amt+bond_amt+stock_amt+fund_amt+lend_amt+other_fin_amt+housing_fund_amt","stock_amt+fund_amt",0,1,1,0,0,0.005,0.003,14686,380
"denom_8__stock_fund__winsor_top2__unweighted","denom_8","stock_fund","winsor_top2","unweighted","(3)","No",-0.003,0,0,NA,14686,0.003,"cash_amt+deposit_amt+bond_amt+stock_amt+fund_amt+lend_amt+emoney_amt+other_fin_amt+housing_fund_amt","stock_amt+fund_amt",1,1,1,0,0,0.005,0.003,14686,381
"denom_8__stock_fund__winsor_top2__unweighted","denom_8","stock_fund","winsor_top2","unweighted","(4)","Yes",-0.002,0,0,NA,14686,0.002,"cash_amt+deposit_amt+bond_amt+stock_amt+fund_amt+lend_amt+emoney_amt+other_fin_amt+housing_fund_amt","stock_amt+fund_amt",1,1,1,0,0,0.005,0.003,14686,381
"denom_9__stock_fund__winsor_top2__unweighted","denom_9","stock_fund","winsor_top2","unweighted","(3)","No",-0.003,0,0,NA,14686,0.003,"cash_amt+deposit_amt+bond_amt+stock_amt+fund_amt+lend_amt+jizikuan_amt","stock_amt+fund_amt",0,0,0,1,0,0.005,0.003,14686,382
"denom_9__stock_fund__winsor_top2__unweighted","denom_9","stock_fund","winsor_top2","unweighted","(4)","Yes",-0.002,0,0,NA,14686,0.002,"cash_amt+deposit_amt+bond_amt+stock_amt+fund_amt+lend_amt+jizikuan_amt","stock_amt+fund_amt",0,0,0,1,0,0.005,0.003,14686,382
"denom_12__stock_fund_lend__trim_totalasset_p1_99__unweighted","denom_12","stock_fund_lend","trim_totalasset_p1_99","unweighted","(3)","No",-0.003,-0.000376023304289885,0.00165289823595214,0.820043363607639,14539,0.00262397669571012,"cash_amt+deposit_amt+bond_amt+stock_amt+fund_amt+lend_amt+emoney_amt+other_fin_amt+jizikuan_amt","stock_amt+fund_amt+lend_amt",1,1,0,1,0,0.00504257094341665,0.00262397669571012,14539,383
"denom_12__stock_fund_lend__trim_totalasset_p1_99__unweighted","denom_12","stock_fund_lend","trim_totalasset_p1_99","unweighted","(4)","Yes",-0.002,0.000418594247706532,0.0016379365259931,0.798292721339997,14539,0.00241859424770653,"cash_amt+deposit_amt+bond_amt+stock_amt+fund_amt+lend_amt+emoney_amt+other_fin_amt+jizikuan_amt","stock_amt+fund_amt+lend_amt",1,1,0,1,0,0.00504257094341665,0.00262397669571012,14539,383
"denom_12__stock_fund_lend__financial_asset_total_gt0__unweighted","denom_12","stock_fund_lend","financial_asset_total_gt0","unweighted","(3)","No",-0.003,-0.000425451800053824,0.00201240250984725,0.83256706392535,12298,0.00257454819994618,"cash_amt+deposit_amt+bond_amt+stock_amt+fund_amt+lend_amt+emoney_amt+other_fin_amt+jizikuan_amt","stock_amt+fund_amt+lend_amt",1,1,0,1,0,0.00510565518699762,0.00257454819994618,12298,384
"denom_12__stock_fund_lend__financial_asset_total_gt0__unweighted","denom_12","stock_fund_lend","financial_asset_total_gt0","unweighted","(4)","Yes",-0.002,0.000531106987051449,0.00198727831492515,0.78927850818583,12298,0.00253110698705145,"cash_amt+deposit_amt+bond_amt+stock_amt+fund_amt+lend_amt+emoney_amt+other_fin_amt+jizikuan_amt","stock_amt+fund_amt+lend_amt",1,1,0,1,0,0.00510565518699762,0.00257454819994618,12298,384
